gene,Large_D(>10bps),Mid_D(3-10bps),Micro_D(<3bps),Direct(or_noDSB),Insertion
ERCC6L2,320,77,24,482,7
HMGB1,100,248,69,564,41
PARP3,66,162,45,242,18
HMGA2,59,234,49,445,22
MLH1,59,223,52,353,22
NBN,44,258,62,475,27
SETD2,36,115,39,280,19
SLX4,86,221,60,420,38
XRCC1,71,239,66,404,21
LIG4,91,106,21,464,33
INO80,24,59,18,74,3
APEX2,96,349,83,566,31
PARP2,142,338,87,689,37
EXO5,60,163,54,307,15
BRCA2,14,92,14,147,3
C9orf142,85,226,46,446,16
XRCC4,27,85,16,154,9
INO80B,52,144,32,269,10
UVRAG,107,286,74,576,34
DCLRE1B,117,365,94,619,35
DDB2,59,145,51,278,22
MSH5,80,203,62,542,15
PARP1,91,256,59,456,24
RNF8,36,116,31,228,10
XRCC2,104,316,85,627,25
LIG3,51,134,33,239,17
MRE11A,62,188,35,284,22
YY1,108,271,64,520,22
POLQ,44,205,48,287,13
DCLRE1A,73,230,68,417,18
H2AFX,83,245,102,573,31
MSH6,46,176,44,274,10
XPC,63,195,32,413,15
POLD2,66,173,51,305,27
XRCC6BP1,50,172,52,413,10
INO80D,53,146,43,260,20
PALB2,50,158,39,274,17
POLD1,21,135,40,187,19
DOT1L,32,98,30,188,8
NHEJ1,93,100,27,258,9
ATM,19,118,43,274,12
EXO1,59,233,71,485,21
MCM2,16,70,13,145,13
POLH,26,55,14,132,13
SAMHD1,45,196,34,292,23
TOPBP1,33,85,22,137,11
TP53,70,240,70,387,34
ATR,33,111,30,211,12
FAM35A,44,186,37,342,11
GEN1,43,170,40,367,16
INO80C,32,141,27,214,8
MLH3,47,98,23,222,4
RAD21,1,9,2,15,1
XRCC3,66,212,48,441,20
APLF,107,307,61,580,19
RNF168,17,77,32,148,10
TP53BP1,39,136,26,242,9
XRCC5,24,123,30,173,12
XRCC6,41,122,22,121,6
APEX1,54,219,58,415,16
ATRX,13,41,17,107,1
BRCA1,15,75,10,115,6
NIPBL,24,100,23,122,2
POLE,9,52,9,70,4
POLL,88,298,46,451,5
SIRT1,59,143,30,247,6
SMC1A,2,15,4,18,0
